target,r2_log_space,rmse_original_units,mae_original_units,relative_rmse_pct,n_samples
tpdhl,0.9919450036807882,3.9531933247928204e-11,2.0272150002809624e-11,13.539269329105439,1498
tpdlh,0.9889882780605644,4.231690194806186e-11,1.831914395481759e-11,14.553202055905286,1498
trise,0.994086489052202,7.8008980861094e-11,3.582474825099913e-11,13.23339289548217,1500
tfall,0.9922009567487657,5.85491398884894e-11,3.122635408254978e-11,10.868801364947812,1500
avg_power_w,0.9975897304402176,6.885860962163624e-07,4.975517359823151e-07,3.40619022473475,1500
