WN,WP,VDD,CL,VTO_SHIFT,sample_id,tpdhl,tpdlh,trise,tfall,iavg,avg_power_w,sim_ok
1.254541443911256e-06,5.009146335595475e-06,1.011134588585853,1.5095147375593452e-13,0.014513322247672572,0,8.429288e-10,4.220778e-10,8.58777e-10,1.714419e-09,-1.52401e-05,1.540979224350726e-05,True
6.799617086274087e-07,3.1233087619120268e-06,1.3429072629489704,9.628570453902475e-14,-0.04776452899685625,1,4.832369e-10,2.104435e-10,4.711032e-10,1.081865e-09,-1.300111e-05,1.745928504539849e-05,True
5.132929243374216e-07,3.2433673471435293e-06,1.4392470782474076,1.613102903345882e-13,0.00236636344940281,2,1.05465e-09,3.183121e-10,7.333208e-10,2.316811e-09,-2.317072e-05,3.334839106088877e-05,True
2.626708506178493e-06,3.6740209986773062e-06,1.0603244028484717,1.7927452396427078e-13,-0.023599264009845463,3,3.826768e-10,5.471713e-10,1.155051e-09,8.07805e-10,-1.883193e-05,1.996795493173422e-05,True
2.856164279704117e-06,6.837252343841997e-06,1.3748324762374362,1.5694434012324892e-14,0.029397621314748434,4,2.124134e-11,1.789561e-11,4.027831e-11,4.641163e-11,-2.257227e-06,3.103308985839999e-06,True
2.8787985927527e-06,5.925824371881814e-06,1.1730496993360844,1.7268696467443115e-13,-0.027367607843106635,5,2.723227e-10,2.645817e-10,5.723767e-10,5.891293e-10,-2.031676e-05,2.3832569209483386e-05,True
3.361840628650748e-06,5.9828449303638725e-06,1.7825929235846747,1.7958229572842853e-13,0.044553864525274545,6,1.321734e-10,1.485301e-10,3.35794e-10,2.988043e-10,-3.24325e-05,5.781394499415996e-05,True
2.086198584310697e-06,4.479608830550523e-06,0.9641977594547688,6.702152728755845e-14,0.031456369261262565,7,2.690669e-10,2.50616e-10,4.964777e-10,5.330315e-10,-6.462181e-06,6.230820441391178e-06,True
3.854708934956017e-06,6.889891783281423e-06,1.033494125514079,1.61512694302127e-13,0.024090685522203822,8,2.874831e-10,3.216752e-10,6.541763e-10,5.846483e-10,-1.669472e-05,1.7253895047102405e-05,True
2.9996025344561558e-06,5.600906353843039e-06,1.5992753137071742,4.2235682183401956e-14,-0.0031914226251128566,9,3.903692e-11,4.175793e-11,9.417257e-11,8.769218e-11,-7.067655e-06,1.130312616729908e-05,True
1.2084903838623002e-06,3.1438751410196995e-06,0.9533644490145927,1.9577566638525975e-14,0.023045130910249442,10,1.354233e-10,1.041205e-10,2.068928e-10,2.689824e-10,-1.866499e-06,1.7794537907212883e-06,True
2.0466495339655024e-06,7.202857088848843e-06,1.44697233229707,1.3008269193464125e-13,-0.02570599944620071,11,1.992066e-10,1.132391e-10,2.54132e-10,4.471327e-10,-1.90408e-05,2.755151078480205e-05,True
2.3045882020743967e-06,3.036356015956321e-06,1.0441941298537123,1.9073423351757202e-13,-0.03162935423114588,12,4.682077e-10,7.10725e-10,1.502316e-09,9.896882e-10,-1.927664e-05,2.0128554331303266e-05,True
1.2531076840890645e-06,3.536788341275515e-06,1.247941977543641,1.5301074178020048e-13,-0.012747666935823729,13,5.099099e-10,3.613381e-10,7.856486e-10,1.108707e-09,-1.911576e-05,2.385535933664963e-05,True
3.7324325479539065e-06,6.150598039619764e-06,1.3320755537843103,1.4696945279981047e-13,-0.022542107721053885,14,1.431059e-10,1.736628e-10,3.840142e-10,3.163648e-10,-1.973699e-05,2.6291161884285395e-05,True
1.0183614932512927e-06,5.284256908534657e-06,1.1742576499270825,1.0138116890793782e-13,0.03065696933641593,15,5.215213e-10,2.010402e-10,4.214282e-10,1.093203e-09,-1.191905e-05,1.3996035642363394e-05,True
3.896884251845074e-06,1.919669773471192e-06,1.5440686041073999,4.3417130016863144e-14,-0.035325603792946435,16,2.118571e-11,1.35523e-10,2.855675e-10,7.058325e-11,-6.902429e-06,1.0657823910980436e-05,True
1.1005029993544808e-06,7.628674760052456e-06,1.790174227298322,1.387679456642601e-13,-0.0009492992808454587,17,3.012988e-10,7.409371e-11,1.929981e-10,6.684546e-10,-2.518325e-05,4.508240510961047e-05,True
1.4705778663310538e-06,1.2012443122288233e-06,0.9273193618699116,1.5293729954143292e-13,-0.026088144220652018,18,7.777918e-10,1.904025e-09,3.889113e-09,1.588427e-09,-1.046133e-05,9.700993859910562e-06,True
5.892469085203385e-07,1.9145490812695916e-06,1.361176688836461,1.6022282229604469e-13,0.039258473859852996,19,1.075973e-09,6.579939e-10,1.430045e-09,2.323196e-09,-2.116573e-05,2.8810298278206544e-05,True
3.913743320784073e-06,3.3069304499264866e-06,0.9753430678521663,5.097365958633134e-14,0.007541812719429018,20,9.72386e-11,2.300779e-10,4.653414e-10,1.966334e-10,-4.973902e-06,4.851260835876026e-06,True
1.4931968417770094e-06,1.496578642082648e-06,1.5169897893759963,1.5169498092157702e-13,-0.0124346065657664,21,3.009414e-10,6.004805e-10,1.351105e-09,6.770839e-10,-2.260086e-05,3.428527385111638e-05,True
1.9658810894390168e-06,7.4404238298680435e-06,1.1753093626331539,1.3681766876974392e-14,-0.029533678591054362,22,3.155277e-11,1.694902e-11,3.852416e-11,6.803032e-11,-1.670466e-06,1.963314329760354e-06,True
2.906243052491605e-06,3.0728842081251865e-06,0.9659179415690745,3.4773605537550995e-14,0.036545649581466985,23,1.01687e-10,1.923045e-10,3.79825e-10,2.009401e-10,-3.358848e-06,3.244371546203403e-06,True
2.604633367224069e-06,3.960400510909957e-06,1.6609241858051411,3.7421686212842516e-14,-0.042181723294703405,24,3.534175e-11,4.642463e-11,1.066493e-10,8.136646e-11,-6.603218e-06,1.0967444480343853e-05,True
3.817471678540373e-06,2.2824069013093677e-06,1.4415821238296698,3.9110608569841495e-14,-0.0024897374292741706,25,2.382948e-11,1.226711e-10,2.503959e-10,7.525916e-11,-5.764339e-06,8.309768058094196e-06,True
2.5977877105233745e-06,7.119991113984482e-06,1.1037959591595476,1.3132273548157553e-14,-0.029996802632713836,26,2.586736e-11,1.911269e-11,4.166359e-11,5.542201e-11,-1.490824e-06,1.6455655070180735e-06,True
1.5139628841774901e-06,3.1934248244958904e-06,1.3814906863985361,5.515398562365668e-14,-0.0457264360349144,27,1.190815e-10,1.129049e-10,2.535617e-10,2.67514e-10,-7.732072e-06,1.0681785454562902e-05,True
2.9879335426908317e-06,6.051290286635354e-06,1.7535440102976985,5.738876287114035e-14,-0.04222744307666046,28,4.351229e-11,4.301114e-11,9.946426e-11,1.007589e-10,-1.070474e-05,1.8771232708794187e-05,True
3.4238468943222734e-06,7.799012661690098e-06,1.6995420018828593,1.0594752812281547e-13,0.049336604120294544,29,8.350686e-11,7.334236e-11,1.643633e-10,1.870929e-10,-1.837119e-05,3.122260902957037e-05,True
3.5724143350911152e-06,6.33490515064611e-06,1.3549941172800009,8.641583578545772e-14,-0.012975308145522682,30,8.695632e-11,9.807525e-11,2.164641e-10,1.920481e-10,-1.186751e-05,1.6080406236761585e-05,True
2.231399691680256e-06,4.059780819857013e-06,1.4769610346641924,1.0408763117805295e-13,-0.04120338027035149,31,1.377154e-10,1.513793e-10,3.428724e-10,3.119372e-10,-1.558115e-05,2.301275142525798e-05,True
2.849169880878391e-06,1.8170611661467551e-06,0.989495898709705,1.0105909527274427e-13,-0.04917358526835446,32,2.130724e-10,6.681264e-10,1.410161e-09,4.497268e-10,-9.756804e-06,9.654317542514445e-06,True
3.5438818748452573e-06,7.451224803937722e-06,1.6064044349960347,2.5667823131154077e-14,0.03333590994368424,33,2.135189e-11,2.038479e-11,4.58284e-11,4.781317e-11,-4.424914e-06,7.108201474076043e-06,True
9.655797065848574e-07,5.94840219601063e-06,1.14561886428966,1.8604337400977546e-13,-0.011070791027877093,34,9.537355e-10,3.089359e-10,6.606088e-10,2.034679e-09,-2.130957e-05,2.4412645381901014e-05,True
2.340039794078505e-06,5.215101192920619e-06,0.900710866927025,8.438753469512639e-14,0.02152578633649832,35,3.489727e-10,3.131704e-10,6.113144e-10,6.812204e-10,-7.600486e-06,6.845840334126717e-06,True
2.301535505323094e-06,7.086257162636012e-06,1.1112733851800103,9.16337148072898e-14,0.03753895763765995,36,2.402478e-10,1.560679e-10,3.211998e-10,4.94394e-10,-1.019236e-05,1.132649840017333e-05,True
1.524224478111441e-06,7.640525318774986e-06,1.1513878706559864,1.0522131596745936e-13,-0.027549904651547268,37,3.246576e-10,1.295909e-10,2.791777e-10,6.997153e-10,-1.216341e-05,1.4004802739815731e-05,True
1.2578958255531693e-06,5.748020406180867e-06,0.9443766084953802,7.490521753674091e-14,-0.02261106741020315,38,4.32057e-10,1.891283e-10,3.871831e-10,8.846394e-10,-7.077686e-06,6.6840011006752335e-06,True
3.368418294680009e-06,6.459901648345928e-06,0.9802136578817681,3.179447677033048e-14,0.02376410690800819,39,7.370308e-11,7.68778e-11,1.540688e-10,1.477056e-10,-3.117351e-06,3.0556700266113877e-06,True
8.131062960602576e-07,7.950262544952479e-06,1.564433549528632,5.076244132718925e-14,0.03649504035011614,40,2.003397e-10,2.91481e-11,8.6536e-11,4.225778e-10,-8.050672e-06,1.2594741373050771e-05,True
1.0085740650235956e-06,5.989592232776237e-06,1.6476239574497842,1.0651825517630033e-14,-0.042403380643064405,41,3.645377e-11,-2.781926e-13,2.458878e-11,6.031661e-11,-2.025486e-06,3.3372392590791334e-06,True
3.096209793138779e-06,6.472515985076642e-06,1.5197323698049663,1.6698729583621843e-13,0.037346836121642246,42,1.73326e-10,1.658228e-10,3.661689e-10,3.82693e-10,-2.555929e-05,3.884328036223238e-05,True
1.2202679832319947e-06,7.412640223570378e-06,1.0579217238522924,1.2107030919407992e-13,0.013082209389550792,43,6.2272e-10,2.050311e-10,4.227371e-10,1.283858e-09,-1.281617e-05,1.3558504659584036e-05,True
1.9422738849868956e-06,2.4270793480074514e-06,1.064055815292301,6.957909167097053e-14,-0.03750728895049951,44,1.918427e-10,3.070059e-10,6.540906e-10,4.087225e-10,-7.419624e-06,7.894894064482323e-06,True
2.9941087600855345e-06,6.788247773181929e-06,1.2464208271651924,7.310230783805974e-14,0.040213099153391316,45,1.155389e-10,1.019568e-10,2.156412e-10,2.444998e-10,-9.149745e-06,1.1404432731250584e-05,True
3.8009032741814905e-06,7.478630445779675e-06,1.1142796359674567,1.7151355995062918e-13,-0.007210767488463131,46,2.38802e-10,2.427291e-10,5.134059e-10,5.050798e-10,-1.914747e-05,2.13356359012978e-05,True
1.0249376945164653e-06,4.43162956526403e-06,1.4038711942363538,1.2228193010159284e-13,0.03793701303134621,47,4.438821e-10,2.053342e-10,4.46456e-10,9.651234e-10,-1.722048e-05,2.4175335822923247e-05,True
2.0017815875434104e-06,7.093487052098206e-06,0.9993260939700229,1.523674910431904e-14,0.00885992673547635,48,5.38338e-11,3.054304e-11,6.24077e-11,1.097769e-10,-1.526691e-06,1.5256621537291883e-06,True
1.217778635551832e-06,3.500709301118754e-06,1.6412025322670314,9.653479667924666e-14,-0.027825123585427256,49,2.020369e-10,1.406036e-10,3.216366e-10,4.622345e-10,-1.605923e-05,2.6356448942258677e-05,True
